ID;Expedition;Mode_of_Shipment;Customer_care_calls;Customer_rating;Cost_of_the_Product;Prior_purchases;Product_importance;Gender;Discount_offered;Weight_in_gms;Delay_or_OnTime_Y.N;Province_Code;
936;JNE;Road;5;2;2987712;3;medium;M;114912;3442;1;16;
937;Ninja Express;Road;3;2;3591000;3;low;F;703836;3798;1;3;
938;JNE;Road;4;5;2054052;2;medium;F;287280;1360;1;20;
939;SiCepat;Road;5;3;3389904;3;medium;M;100548;3589;1;7;
940;TIKI;Road;4;1;2111508;3;low;F;215460;1956;1;27;
941;J&T;Road;2;1;1623132;5;low;F;129276;1957;1;22;
942;JNE;Road;5;4;2370060;2;high;M;660744;1482;1;33;
943;Ninja Express;Road;4;4;3375540;4;low;M;718200;2020;1;11;
944;JNE;Road;4;2;2671704;10;low;M;646380;3722;1;31;
945;SiCepat;Road;4;5;3935736;10;medium;F;71820;3910;1;25;
946;TIKI;Road;2;2;2341332;3;medium;M;502740;1547;1;19;
947;J&T;Road;4;2;2312604;3;low;F;316008;1819;1;34;
948;JNE;Road;4;1;3792096;2;low;M;114912;2436;1;34;
949;Ninja Express;Road;3;3;3662820;2;medium;M;43092;2894;1;23;
950;JNE;Road;4;1;3705912;3;medium;M;761292;2428;1;14;
951;SiCepat;Road;5;2;3749004;8;medium;F;14364;3308;1;1;
952;TIKI;Road;5;4;2700432;7;medium;F;689472;2466;1;19;
953;J&T;Road;3;5;2700432;3;high;F;129276;3206;1;16;
954;JNE;Road;3;1;2298240;10;medium;F;416556;1952;1;14;
955;Ninja Express;Flight;3;1;3073896;2;low;F;718200;2720;1;32;
956;JNE;Flight;4;5;3002076;8;medium;F;847476;2948;1;8;
957;SiCepat;Flight;4;1;2987712;7;high;F;933660;2674;1;23;
958;TIKI;Flight;3;1;3806460;4;low;M;718200;2249;1;19;
959;J&T;Flight;4;1;2312604;2;high;F;301644;1075;1;30;
960;JNE;Flight;5;2;3116988;3;high;M;301644;2600;1;15;
961;Ninja Express;Flight;3;4;3016440;2;low;F;502740;2741;1;33;
962;JNE;Flight;3;3;2571156;2;low;F;890568;1765;1;13;
963;SiCepat;Flight;3;2;2585520;4;medium;M;746928;1329;1;9;
964;TIKI;Flight;4;5;2269512;5;medium;F;790020;1936;1;16;
965;J&T;Flight;6;1;4179924;5;medium;F;761292;1682;1;5;
966;JNE;Flight;5;2;3318084;2;medium;F;790020;3894;1;1;
967;Ninja Express;Flight;4;5;2341332;4;low;F;703836;1470;1;19;
968;JNE;Flight;5;3;2097144;3;low;M;588924;1204;1;24;
969;SiCepat;Flight;2;5;3907008;2;low;M;344736;3638;1;1;
970;TIKI;Flight;2;1;1738044;2;medium;F;258552;1839;1;19;
971;J&T;Flight;6;2;1694952;2;low;M;574560;1014;1;32;
972;JNE;Flight;3;5;2484972;2;low;M;201096;1638;1;24;
973;Ninja Express;Flight;4;5;3490452;2;low;M;330372;2686;1;30;
974;JNE;Flight;5;4;3289356;3;medium;M;416556;2505;1;15;
975;SiCepat;Flight;5;3;1378944;4;medium;F;172368;1655;1;16;
976;TIKI;Flight;5;5;3576636;3;medium;M;790020;3558;1;30;
977;J&T;Ship;3;2;2370060;2;low;F;344736;1966;1;5;
978;JNE;Ship;4;5;3203172;3;medium;F;904932;2427;1;16;
979;Ninja Express;Ship;3;3;3835188;2;low;F;746928;2949;1;8;
980;JNE;Ship;4;4;2010960;2;low;F;675108;1831;1;15;
981;SiCepat;Ship;4;4;3002076;3;low;F;632016;2075;1;9;
982;TIKI;Ship;3;5;3490452;3;medium;M;57456;3189;1;18;
983;J&T;Ship;3;2;2513700;4;medium;F;244188;1276;1;1;
984;JNE;Ship;5;4;1910412;3;low;M;129276;1051;1;19;
985;Ninja Express;Ship;3;3;2398788;3;medium;F;344736;1111;1;7;
986;JNE;Ship;6;1;2470608;6;high;F;718200;1052;1;29;
987;SiCepat;Ship;5;4;3691548;2;low;M;790020;2257;1;1;
988;TIKI;Ship;3;3;2901528;2;medium;M;560196;3857;1;12;
989;J&T;Ship;3;1;3203172;3;medium;F;445284;3942;1;11;
990;JNE;Ship;3;2;2614248;2;low;F;574560;2592;1;33;
991;Ninja Express;Ship;3;2;3361176;3;medium;M;474012;2789;1;14;
992;JNE;Ship;3;5;2010960;3;low;F;430920;1035;1;12;
993;SiCepat;Ship;4;3;1953504;3;medium;M;129276;1548;1;17;
994;TIKI;Ship;4;3;3016440;3;medium;F;86184;2568;1;7;
995;J&T;Ship;5;1;3720276;3;high;F;531468;3023;1;9;
996;JNE;Ship;4;2;2025324;2;medium;M;746928;1012;1;18;
997;Ninja Express;Ship;4;3;2168964;4;medium;M;186732;1583;1;18;
998;JNE;Ship;3;5;2355696;3;medium;F;617652;1423;1;14;
999;SiCepat;Ship;3;3;2025324;2;medium;F;689472;1758;1;18;
1000;TIKI;Ship;3;3;3892644;2;medium;M;215460;3542;1;14;
1001;J&T;Ship;4;3;2743524;4;low;F;215460;2544;1;22;
1002;JNE;Ship;3;1;2599884;3;medium;M;316008;3266;1;34;
1003;Ninja Express;Ship;3;3;3461724;5;low;M;114912;2182;1;1;
1004;JNE;Ship;3;3;3648456;3;medium;M;43092;2837;1;17;
1005;SiCepat;Ship;3;2;2097144;6;medium;F;890568;1162;1;24;
1006;TIKI;Ship;5;1;3892644;2;high;M;660744;2744;1;13;
1007;J&T;Ship;3;1;2657340;2;medium;F;603288;2803;1;30;
1008;JNE;Ship;4;5;2441880;3;low;F;129276;1138;1;3;
1009;Ninja Express;Ship;4;1;3806460;2;medium;M;258552;3327;1;6;
1010;JNE;Ship;4;4;2039688;4;low;F;114912;1777;1;33;
1011;SiCepat;Ship;2;5;3274992;2;low;F;703836;3024;1;34;
1012;TIKI;Ship;4;5;3763368;4;low;M;229824;2871;1;8;
1013;J&T;Ship;3;3;2944620;2;medium;F;775656;2427;1;2;
1014;JNE;Ship;4;1;2556792;2;high;M;560196;1362;1;16;
1015;Ninja Express;Ship;2;2;2197692;2;low;M;660744;1130;1;9;
1016;JNE;Ship;3;4;2671704;2;low;M;904932;3447;1;6;
1017;SiCepat;Ship;4;1;2398788;3;high;F;316008;1403;1;7;
1018;TIKI;Ship;3;3;2125872;2;low;M;603288;1950;1;18;
1019;J&T;Ship;3;2;2398788;2;low;M;28728;1010;1;1;
1020;JNE;Ship;3;2;3749004;5;medium;M;646380;2488;1;31;
1021;Ninja Express;Ship;3;4;2384424;3;medium;M;617652;1095;1;13;
1022;JNE;Ship;3;1;3246264;2;low;M;258552;2319;1;4;
1023;SiCepat;Ship;3;4;3734640;3;low;F;301644;2003;1;11;
1024;TIKI;Ship;5;1;3533544;3;medium;F;632016;3993;1;3;
1025;J&T;Ship;3;2;3174444;3;low;F;301644;3686;1;20;
1026;JNE;Ship;5;4;2743524;4;medium;M;904932;2039;1;10;
1027;Ninja Express;Ship;3;1;1982232;5;medium;F;114912;1349;1;33;
1028;JNE;Ship;3;1;2097144;3;medium;M;229824;1714;1;28;
1029;SiCepat;Ship;3;3;2772252;3;medium;M;158004;3188;1;5;
1030;TIKI;Ship;3;1;3289356;2;medium;F;172368;3111;1;7;
1031;J&T;Ship;4;1;3432996;2;high;M;229824;2504;1;25;
1032;JNE;Ship;6;2;1479492;4;medium;M;531468;1093;1;8;
1033;Ninja Express;Ship;5;4;3648456;5;low;F;517104;2039;1;12;
1034;JNE;Ship;2;2;2844072;2;low;M;158004;3686;1;6;
1035;SiCepat;Ship;3;3;2987712;3;medium;M;876204;3783;1;18;
1036;TIKI;Ship;3;5;3634092;2;medium;M;244188;2205;1;30;
1037;J&T;Ship;4;3;3749004;2;high;M;675108;2336;1;3;
1038;JNE;Ship;3;1;2240784;3;medium;M;703836;1253;1;34;
1039;Ninja Express;Ship;4;3;1393308;2;low;M;373464;1598;1;31;
1040;JNE;Ship;2;5;3950100;2;low;M;588924;2546;1;23;
1041;SiCepat;Ship;2;1;2714796;2;high;M;689472;2429;1;29;
1042;TIKI;Ship;3;1;3389904;3;medium;M;402192;3290;1;26;
1043;J&T;Ship;5;1;2441880;3;medium;F;861840;1883;1;14;
1044;JNE;Ship;4;2;3605364;2;low;M;761292;2673;1;4;
1045;Ninja Express;Ship;3;3;2944620;2;medium;F;833112;2187;1;31;
1046;JNE;Ship;4;5;1939140;3;medium;F;761292;1744;1;23;
1047;SiCepat;Ship;3;3;3318084;2;medium;F;344736;2177;1;17;
1048;TIKI;Ship;3;4;3691548;3;medium;M;804384;2941;1;5;
1049;J&T;Ship;5;2;2326968;3;high;M;818748;1233;1;22;
1050;JNE;Ship;6;5;3404268;5;high;F;904932;2573;1;24;
1051;Ninja Express;Ship;3;4;1924776;4;medium;M;761292;1887;1;30;
1052;JNE;Ship;2;1;2341332;3;medium;F;344736;1119;1;32;
1053;SiCepat;Ship;5;5;3792096;3;medium;F;387828;2019;1;1;
1054;TIKI;Ship;5;2;2484972;4;low;M;301644;1674;1;22;
1055;J&T;Ship;2;4;2743524;3;low;F;833112;2586;1;25;
1056;JNE;Ship;3;3;2183328;3;medium;M;71820;1385;1;24;
1057;Ninja Express;Ship;3;4;3907008;4;low;F;330372;2048;1;30;
1058;JNE;Ship;4;2;2844072;2;low;M;861840;3368;1;4;
1059;SiCepat;Ship;4;3;3734640;4;medium;M;574560;3668;1;2;
1060;TIKI;Ship;4;3;2269512;6;medium;M;617652;1478;1;11;
1061;J&T;Ship;5;3;3619728;4;medium;M;904932;3729;1;25;
1062;JNE;Ship;4;2;2858436;3;low;M;919296;2470;1;1;
1063;Ninja Express;Ship;4;2;3907008;4;low;M;890568;2307;1;10;
1064;JNE;Ship;3;4;3002076;3;low;M;531468;2215;1;3;
1065;SiCepat;Ship;3;2;2111508;4;low;M;186732;1657;1;21;
1066;TIKI;Ship;4;2;2384424;4;low;F;904932;1759;1;1;
1067;J&T;Ship;3;4;2370060;2;low;M;689472;1706;1;11;
1068;JNE;Ship;4;5;2326968;2;medium;F;818748;1715;1;5;
1069;Ninja Express;Ship;3;3;3662820;3;medium;M;330372;3764;1;1;
1070;JNE;Road;5;5;2571156;5;low;M;545832;1437;1;20;
1071;SiCepat;Road;3;4;3591000;2;high;M;876204;3207;1;14;
1072;TIKI;Road;3;5;3605364;2;low;F;402192;3936;1;32;
1073;J&T;Road;4;4;2844072;2;low;F;71820;2270;1;24;
1074;JNE;Road;3;1;2125872;2;medium;M;488376;1053;1;28;
1075;Ninja Express;Road;4;5;3849552;3;medium;F;43092;2758;1;16;
1076;JNE;Road;5;2;3432996;3;low;F;675108;3673;1;2;
1077;SiCepat;Road;3;4;2800980;3;medium;M;143640;2021;1;7;
1078;TIKI;Road;4;3;3619728;2;medium;F;732564;2658;1;27;
1079;J&T;Road;3;5;3907008;3;medium;M;689472;3780;1;22;
1080;JNE;Road;2;4;2025324;3;medium;F;387828;1628;1;16;
1081;Ninja Express;Road;3;1;3217536;3;low;F;646380;3624;1;23;
1082;JNE;Road;6;3;3878280;3;low;F;804384;3251;1;20;
1083;SiCepat;Road;6;3;3389904;3;medium;M;86184;2639;1;28;
1084;TIKI;Road;3;1;3260628;3;medium;F;675108;3512;1;6;
1085;J&T;Road;3;4;3763368;3;low;M;100548;2424;1;25;
1086;JNE;Road;3;1;3274992;2;low;M;646380;2257;1;7;
1087;Ninja Express;Road;4;2;2528064;3;low;M;330372;1909;1;4;
1088;JNE;Road;4;2;2111508;3;medium;M;632016;1873;1;6;
1089;SiCepat;Road;5;2;2815344;3;medium;M;632016;2085;1;24;
1090;TIKI;Road;3;1;1608768;5;medium;F;588924;1249;1;12;
1091;J&T;Road;4;2;3174444;2;medium;M;775656;3065;1;17;
1092;JNE;Flight;3;5;2212056;3;medium;M;660744;1312;1;28;
1093;Ninja Express;Flight;4;4;2872800;3;low;M;272916;2976;1;1;
1094;JNE;Flight;2;5;3102624;2;medium;F;818748;3807;1;26;
1095;SiCepat;Flight;3;1;2657340;3;medium;M;43092;3051;1;13;
1096;TIKI;Flight;4;2;2858436;3;low;M;330372;2994;1;31;
1097;J&T;Flight;5;2;3806460;3;low;F;172368;2892;1;25;
1098;JNE;Flight;3;2;3777732;3;low;F;818748;2113;1;28;
1099;Ninja Express;Flight;4;2;2599884;2;low;F;402192;2815;1;6;
1100;JNE;Flight;4;3;2341332;2;low;F;172368;1092;1;23;
1101;SiCepat;Flight;5;2;3734640;2;medium;M;330372;3962;1;14;
1102;TIKI;Flight;6;2;2283876;5;medium;F;316008;1247;1;31;
1103;J&T;Flight;4;1;3260628;3;medium;M;775656;3043;1;2;
1104;JNE;Flight;3;3;1493856;5;medium;F;588924;1936;1;3;
1105;Ninja Express;Flight;3;4;2700432;4;low;F;703836;3067;1;29;
1106;JNE;Flight;5;3;2901528;3;high;M;588924;3536;1;34;
1107;SiCepat;Flight;3;3;3059532;6;low;F;244188;2424;1;6;
1108;TIKI;Flight;3;1;3030804;2;low;F;646380;3332;1;5;
1109;J&T;Flight;4;4;3332448;3;medium;F;876204;2484;1;28;
1110;JNE;Flight;4;3;2054052;2;high;M;560196;1727;1;18;
1111;Ninja Express;Flight;5;1;2815344;3;medium;M;344736;2957;1;11;
1112;JNE;Flight;4;1;2154600;6;medium;F;603288;1070;1;5;
1113;SiCepat;Flight;5;1;3188808;3;high;M;301644;2351;1;7;
1114;TIKI;Ship;3;2;2915892;3;high;M;43092;2791;1;26;
1115;J&T;Ship;5;2;2556792;3;medium;M;861840;1176;1;16;
1116;JNE;Ship;4;2;3907008;2;low;M;301644;3271;1;28;
1117;Ninja Express;Ship;4;2;2614248;3;low;M;833112;3943;1;4;
1118;JNE;Ship;4;4;2944620;3;low;F;158004;2255;1;8;
1119;SiCepat;Ship;3;2;2456244;3;medium;M;158004;1282;1;24;
1120;TIKI;Ship;4;1;2470608;2;low;M;689472;1993;1;16;
1121;J&T;Ship;3;2;3016440;2;medium;M;430920;3928;1;10;
1122;JNE;Ship;2;1;3792096;3;medium;M;143640;3409;1;21;
1123;Ninja Express;Ship;4;1;2599884;4;low;F;660744;2399;1;10;
1124;JNE;Ship;3;5;3447360;3;medium;F;775656;2919;1;5;
1125;SiCepat;Ship;4;4;2010960;4;medium;F;660744;1442;1;23;
1126;TIKI;Ship;6;4;4065012;5;medium;F;502740;2686;1;25;
1127;J&T;Ship;4;3;3777732;4;medium;M;330372;2960;1;29;
1128;JNE;Ship;4;4;1953504;3;high;F;502740;1234;1;29;
1129;Ninja Express;Ship;4;4;2082780;4;low;F;502740;1210;1;23;
1130;JNE;Ship;3;3;2326968;2;low;F;603288;1763;1;14;
1131;SiCepat;Ship;5;1;3303720;6;low;F;861840;2067;1;6;
1132;TIKI;Ship;3;3;2125872;5;medium;M;876204;1452;1;23;
1133;J&T;Ship;3;3;2513700;3;high;F;646380;1212;1;3;
1134;JNE;Ship;4;2;3260628;2;high;M;502740;3583;1;18;
1135;Ninja Express;Ship;4;1;2542428;4;low;F;186732;1569;1;30;
1136;JNE;Ship;6;1;3691548;3;medium;M;861840;3416;1;19;
1137;SiCepat;Ship;5;5;2844072;5;medium;M;517104;2803;1;17;
1138;TIKI;Ship;3;5;3605364;3;medium;M;847476;3651;1;27;
1139;J&T;Ship;5;5;2269512;3;medium;F;675108;1246;1;31;
1140;JNE;Ship;4;5;2456244;6;medium;F;387828;1840;1;29;
1141;Ninja Express;Ship;4;1;3734640;2;low;M;28728;2980;1;26;
1142;JNE;Ship;3;4;3777732;3;low;M;603288;2992;1;29;
1143;SiCepat;Ship;6;3;3863916;2;high;M;617652;2300;1;21;
1144;TIKI;Ship;3;3;3217536;2;low;F;531468;3220;1;24;
1145;J&T;Ship;4;1;1694952;5;low;M;718200;1413;1;14;
1146;JNE;Ship;5;1;2671704;10;low;M;919296;2529;1;32;
1147;Ninja Express;Ship;5;5;2743524;2;high;M;488376;2708;1;6;
1148;JNE;Ship;5;5;2499336;6;medium;F;373464;1184;1;11;
1149;SiCepat;Ship;3;1;2010960;2;medium;F;790020;1339;1;29;
1150;TIKI;Ship;4;2;2772252;2;high;F;689472;2371;1;13;
1151;J&T;Ship;3;4;2125872;10;high;F;172368;1779;1;11;
1152;JNE;Ship;2;2;2528064;5;low;F;790020;1211;1;9;
1153;Ninja Express;Ship;4;1;1939140;10;medium;M;502740;1989;1;15;
1154;JNE;Ship;6;5;2212056;10;medium;F;689472;1990;1;20;
1155;SiCepat;Ship;4;5;2054052;8;low;M;632016;1756;1;24;
1156;TIKI;Ship;4;3;2484972;2;low;F;143640;1179;1;18;
1157;J&T;Ship;4;5;3763368;3;medium;F;545832;3139;1;25;
1158;JNE;Ship;4;1;2456244;3;low;F;833112;1516;1;27;
1159;Ninja Express;Ship;4;3;3533544;2;low;M;790020;2387;1;4;
1160;JNE;Ship;3;4;3820824;2;high;F;790020;2779;1;11;
1161;SiCepat;Ship;4;5;1824228;8;low;M;560196;1411;1;7;
1162;TIKI;Ship;5;2;2398788;8;low;M;402192;1921;1;27;
1163;J&T;Ship;4;2;2686068;4;medium;M;531468;2200;1;23;
1164;JNE;Ship;3;2;2326968;2;low;F;775656;1614;1;21;
1165;Ninja Express;Ship;5;2;3303720;6;low;M;143640;3604;1;8;
1166;JNE;Ship;3;4;2125872;5;medium;F;718200;1540;1;16;
1167;SiCepat;Ship;3;3;2513700;3;high;F;790020;1229;1;21;
1168;TIKI;Ship;4;1;3260628;2;high;M;861840;3080;1;16;
1169;J&T;Ship;4;3;2542428;4;low;M;545832;1767;1;23;
1170;JNE;Ship;6;1;3691548;3;medium;M;531468;2239;1;10;
1171;Ninja Express;Ship;5;1;2844072;5;medium;F;703836;3187;1;32;
1172;JNE;Ship;3;1;3605364;3;medium;F;258552;2240;1;18;
1173;SiCepat;Ship;5;2;2269512;3;medium;M;229824;1499;1;18;
1174;TIKI;Ship;4;3;2456244;6;medium;F;129276;1909;1;1;
1175;J&T;Ship;4;3;3734640;2;low;M;545832;2526;1;19;
1176;JNE;Ship;3;1;3777732;3;low;M;359100;3689;1;8;
1177;Ninja Express;Ship;6;4;3863916;2;high;M;675108;4000;1;31;
1178;JNE;Ship;3;2;3217536;2;low;F;703836;3749;1;33;
1179;SiCepat;Ship;4;3;1694952;5;low;F;215460;1601;1;24;
1180;TIKI;Ship;5;4;2671704;10;low;F;344736;3621;1;29;
1181;J&T;Ship;5;2;2743524;2;high;F;86184;2059;1;20;
1182;JNE;Ship;5;1;2499336;6;medium;M;632016;1635;1;26;
1183;Ninja Express;Ship;3;3;2010960;2;medium;M;790020;1847;1;16;
1184;JNE;Ship;4;1;2772252;2;high;M;531468;3510;1;30;
1185;SiCepat;Ship;3;5;2125872;10;high;F;502740;1597;1;12;
1186;TIKI;Ship;2;3;2528064;5;low;M;416556;1254;1;26;
1187;J&T;Ship;4;4;1939140;10;medium;F;818748;1361;1;3;
1188;JNE;Ship;6;5;2212056;10;medium;F;201096;1204;1;32;
1189;Ninja Express;Ship;4;5;2054052;8;low;M;545832;1095;1;1;
1190;JNE;Ship;4;2;2484972;2;low;F;430920;1336;1;19;
1191;SiCepat;Ship;4;3;3763368;3;medium;M;660744;2904;1;21;
1192;TIKI;Ship;4;5;2456244;3;low;F;301644;1683;1;30;
1193;J&T;Ship;4;4;3533544;2;low;M;158004;2282;1;4;
1194;JNE;Ship;3;4;3820824;2;high;M;703836;2643;1;28;
1195;Ninja Express;Ship;4;1;1824228;8;low;F;172368;1519;1;12;
1196;JNE;Ship;5;5;2398788;8;low;M;632016;1547;1;22;
1197;SiCepat;Ship;4;2;2686068;4;medium;M;703836;3225;1;17;
1198;TIKI;Ship;6;2;4223016;4;low;M;502740;1625;1;9;
1199;J&T;Ship;4;2;2269512;4;low;F;186732;1785;1;25;
1200;JNE;Ship;6;5;1939140;5;low;M;790020;1078;1;20;
1201;Ninja Express;Ship;4;2;3418632;3;low;F;402192;1915;1;32;
1202;JNE;Ship;6;1;3059532;3;low;M;904932;1548;1;27;
1203;SiCepat;Ship;4;4;3404268;2;medium;M;301644;1495;1;24;
1204;TIKI;Ship;4;1;3691548;3;low;M;675108;1308;1;15;
1205;J&T;Ship;5;2;2844072;5;low;M;933660;1994;1;9;
1206;JNE;Ship;3;3;3131352;3;medium;M;689472;3425;1;16;
1207;Ninja Express;Road;4;4;3389904;4;low;M;933660;2280;1;25;
1208;JNE;Road;3;1;1436400;3;low;F;244188;1129;1;32;
1209;SiCepat;Road;3;1;2212056;2;low;F;632016;1994;1;14;
1210;TIKI;Road;5;1;3418632;3;low;M;459648;3832;1;32;
1211;J&T;Road;5;5;1838592;5;low;M;488376;1008;1;20;
1212;JNE;Road;4;1;2010960;3;medium;M;129276;1431;1;33;
1213;Ninja Express;Road;2;4;2686068;3;low;M;718200;3878;1;27;
1214;JNE;Road;4;3;3677184;3;low;F;215460;3155;1;20;
1215;SiCepat;Road;3;3;3878280;4;low;F;258552;2397;1;14;
1216;TIKI;Road;4;2;2901528;2;low;F;646380;3008;1;34;
1217;J&T;Road;3;5;3677184;3;low;F;890568;2971;1;18;
1218;JNE;Road;4;3;1939140;2;medium;F;531468;1597;1;2;
1219;Ninja Express;Road;4;4;2642976;4;medium;M;114912;2306;1;9;
1220;JNE;Road;5;5;2427516;4;medium;F;330372;1922;1;22;
1221;SiCepat;Road;3;2;2556792;4;medium;F;689472;1079;1;19;
1222;TIKI;Road;4;5;3806460;3;medium;F;588924;3101;1;34;
1223;J&T;Road;4;3;3116988;2;medium;M;316008;2138;1;12;
1224;JNE;Road;3;1;3705912;2;medium;M;158004;2791;1;26;
1225;Ninja Express;Road;3;3;3131352;2;medium;M;129276;2069;1;24;
1226;JNE;Road;3;1;1939140;2;medium;M;100548;1316;1;32;
1227;SiCepat;Road;3;3;2154600;2;medium;F;876204;1053;1;1;
1228;TIKI;Road;3;4;2872800;3;medium;F;703836;2942;1;27;
1229;J&T;Flight;6;1;1953504;3;high;M;172368;1592;1;12;
1230;JNE;Flight;3;2;1709316;2;low;M;459648;1791;1;16;
1231;Ninja Express;Flight;5;4;3045168;6;medium;F;71820;2041;1;29;
1232;JNE;Flight;4;2;3907008;2;low;M;818748;2377;1;1;
1233;SiCepat;Flight;4;2;2384424;3;low;M;71820;1610;1;14;
1234;TIKI;Flight;3;5;2528064;3;high;F;14364;1982;1;16;
1235;J&T;Flight;2;3;4021920;4;low;M;244188;3555;1;8;
1236;JNE;Flight;3;2;2427516;2;medium;F;272916;1922;1;14;
1237;Ninja Express;Flight;3;1;3318084;6;medium;F;919296;3627;1;11;
1238;JNE;Flight;4;1;2010960;2;low;F;71820;1274;1;4;
1239;SiCepat;Flight;3;5;2628612;3;medium;F;632016;3158;1;2;
1240;TIKI;Flight;4;5;2255148;3;medium;M;402192;1557;1;17;
1241;J&T;Flight;4;5;3016440;4;medium;F;402192;3905;1;21;
1242;JNE;Flight;4;5;3260628;4;low;F;287280;2217;1;21;
1243;Ninja Express;Flight;4;1;3591000;2;medium;M;646380;3021;1;29;
1244;JNE;Flight;6;3;2456244;5;high;M;876204;1947;1;27;
1245;SiCepat;Flight;4;2;1953504;2;medium;F;244188;1285;1;7;
1246;TIKI;Flight;4;3;3705912;3;medium;M;833112;2579;1;31;
1247;J&T;Flight;6;2;3892644;5;low;M;201096;2514;1;24;
1248;JNE;Flight;4;4;2829708;3;low;F;416556;2915;1;12;
1249;Ninja Express;Flight;5;2;3116988;3;low;M;387828;2999;1;11;
1250;JNE;Flight;4;1;3547908;3;low;F;129276;2414;1;21;
1251;SiCepat;Ship;4;4;2757888;4;medium;F;660744;3599;1;22;
1252;TIKI;Ship;3;1;3648456;3;medium;M;86184;3496;1;15;
1253;J&T;Ship;5;5;3246264;3;medium;F;933660;3840;1;18;
1254;JNE;Ship;5;3;2829708;2;low;F;689472;2481;1;12;
1255;Ninja Express;Ship;3;1;2915892;4;medium;M;172368;2779;1;26;
1256;JNE;Ship;4;5;2815344;3;medium;M;229824;3722;1;9;
1257;SiCepat;Ship;2;2;2585520;3;low;M;474012;1217;1;21;
1258;TIKI;Ship;3;5;3145716;3;low;F;775656;3145;1;18;
1259;J&T;Ship;4;4;3820824;2;low;F;215460;3425;1;7;
1260;JNE;Ship;5;1;2068416;2;low;F;287280;1082;1;24;
1261;Ninja Express;Ship;5;3;2829708;2;low;F;172368;3400;1;15;
1262;JNE;Ship;4;1;3705912;3;medium;F;57456;3686;1;9;
1263;SiCepat;Ship;3;3;2686068;3;low;F;904932;2481;1;20;
1264;TIKI;Ship;5;4;2642976;3;low;M;129276;3332;1;22;
1265;J&T;Ship;4;3;2039688;2;medium;F;904932;1615;1;13;
1266;JNE;Ship;3;5;4065012;5;low;F;718200;2848;1;15;
1267;Ninja Express;Ship;4;2;3174444;2;low;F;186732;3097;1;9;
1268;JNE;Ship;3;2;3346812;5;low;M;632016;2010;1;5;
1269;SiCepat;Ship;6;4;1852956;5;low;F;833112;1463;1;11;
1270;TIKI;Ship;3;4;2212056;2;medium;F;617652;1542;1;11;
1271;J&T;Ship;4;4;2269512;3;medium;M;904932;1387;1;10;
1272;JNE;Ship;5;3;3389904;6;medium;M;129276;3715;1;23;
1273;Ninja Express;Ship;3;5;3691548;3;low;F;746928;2170;1;12;
1274;JNE;Ship;4;5;2298240;3;medium;M;718200;1511;1;5;
1275;SiCepat;Ship;4;2;3662820;4;low;F;890568;3198;1;24;
1276;TIKI;Ship;4;3;3016440;2;medium;M;316008;3124;1;27;
1277;J&T;Ship;5;3;2427516;4;medium;F;531468;1290;1;19;
1278;JNE;Ship;3;1;3950100;2;high;F;14364;2597;1;23;
1279;Ninja Express;Ship;3;2;2657340;3;medium;M;675108;2467;1;34;
1280;JNE;Ship;3;2;3059532;2;medium;F;775656;2809;1;8;
1281;SiCepat;Ship;3;4;2571156;3;high;M;818748;1582;1;22;
1282;TIKI;Ship;3;3;1580040;3;low;M;100548;1235;1;3;
1283;J&T;Ship;3;4;3102624;3;low;F;588924;2042;1;32;
1284;JNE;Ship;4;1;3835188;3;medium;M;531468;2716;1;15;
1285;Ninja Express;Ship;5;4;3073896;2;medium;F;14364;3709;1;29;
1286;JNE;Ship;5;2;2815344;3;low;M;545832;2211;1;23;
1287;SiCepat;Ship;2;2;2757888;2;low;F;114912;3127;1;20;
1288;TIKI;Ship;4;1;2743524;3;low;M;57456;2724;1;23;
1289;J&T;Ship;3;4;3188808;3;medium;M;818748;2714;1;24;
1290;JNE;Ship;3;3;2025324;3;medium;M;143640;1751;1;32;
1291;Ninja Express;Ship;4;3;3476088;3;low;M;14364;2808;1;28;
1292;JNE;Ship;3;4;3045168;2;high;M;186732;2733;1;2;
1293;SiCepat;Ship;5;5;1910412;3;medium;F;301644;1648;1;21;
1294;TIKI;Ship;5;5;3648456;5;low;F;502740;2508;1;34;
1295;J&T;Ship;4;3;2729160;3;medium;F;28728;2125;1;26;
1296;JNE;Ship;5;3;2657340;3;low;M;359100;2503;1;14;
1297;Ninja Express;Ship;3;5;2743524;3;medium;M;775656;3890;1;6;
1298;JNE;Ship;4;4;2269512;2;medium;M;215460;1030;1;16;
1299;SiCepat;Ship;3;5;2456244;3;low;F;703836;1333;1;17;
1300;TIKI;Ship;3;4;2298240;2;medium;M;459648;1085;1;29;
1301;J&T;Ship;4;2;3375540;3;low;F;301644;3088;1;33;
1302;JNE;Ship;4;4;3547908;3;low;M;790020;2361;1;9;
1303;Ninja Express;Ship;4;1;2183328;3;medium;F;933660;1706;1;19;
1304;JNE;Ship;4;3;1982232;3;medium;M;215460;1080;1;34;
1305;SiCepat;Ship;5;4;3878280;2;high;F;617652;2971;1;30;
1306;TIKI;Ship;6;1;2772252;4;medium;M;114912;2952;1;18;
1307;J&T;Ship;4;3;3619728;2;medium;M;14364;2336;1;18;
1308;JNE;Ship;3;1;2915892;2;medium;F;732564;3976;1;8;
1309;Ninja Express;Ship;5;4;2025324;3;medium;M;919296;1677;1;4;
